case_id,activity,timestamp,resource,amount,lost_reason
OPP-1001,Crear Lead,2026-07-14 13:52:00,Luis Perez,18020,
OPP-1001,Contactar Cliente,2026-07-14 20:13:00,Luis Perez,18020,
OPP-1001,Calificar Lead,2026-07-16 01:13:00,Luis Perez,18020,
OPP-1001,Agendar Demo,2026-07-18 01:13:00,Luis Perez,18020,
OPP-1001,Realizar Demo,2026-07-22 01:13:00,Luis Perez,18020,
OPP-1001,Enviar Propuesta,2026-07-24 01:13:00,Luis Perez,18020,
OPP-1001,Negociación,2026-07-26 01:13:00,Elena Silva,18020,
OPP-1001,Enviar Propuesta,2026-07-28 01:13:00,Luis Perez,17068,
OPP-1001,Negociación,2026-07-29 01:13:00,Carlos Mendoza,17068,
OPP-1001,Aprobación Legal,2026-07-30 01:13:00,Abog. Castro,17068,
OPP-1001,Cerrar Ganado,2026-08-01 01:13:00,Elena Silva,17068,
OPP-1002,Crear Lead,2026-07-17 00:07:00,Juan Martinez,33146,
OPP-1002,Contactar Cliente,2026-07-17 12:20:00,Juan Martinez,33146,
OPP-1002,Calificar Lead,2026-07-17 18:20:00,Juan Martinez,33146,
OPP-1002,Agendar Demo,2026-07-19 18:20:00,Juan Martinez,33146,
OPP-1002,Realizar Demo,2026-07-22 18:20:00,Juan Martinez,33146,
OPP-1002,Enviar Propuesta,2026-07-23 18:20:00,Juan Martinez,33146,
OPP-1002,Negociación,2026-07-27 18:20:00,Carlos Mendoza,33146,
OPP-1002,Aprobación Legal,2026-07-28 18:20:00,Abog. Castro,33146,
OPP-1002,Cerrar Perdido,2026-07-30 18:20:00,Abog. Castro,33146,La calidad no le gusta al cliente
OPP-1003,Crear Lead,2026-07-17 05:57:00,Juan Martinez,13767,
OPP-1003,Contactar Cliente,2026-07-17 17:19:00,Juan Martinez,13767,
OPP-1003,Calificar Lead,2026-07-18 19:19:00,Juan Martinez,13767,
OPP-1003,Agendar Demo,2026-07-21 19:19:00,Juan Martinez,13767,
OPP-1003,Realizar Demo,2026-07-24 19:19:00,Juan Martinez,13767,
OPP-1003,Enviar Propuesta,2026-07-25 19:19:00,Juan Martinez,13767,
